kd_suplier,kd_barang,gudang,qty
AGROG01,AGAKA01,Global,0
AGROG01,AGAKE01,Global,0
AGROG01,AGALA01,Global,0
KARUN03,QGAPA01,Global,425
AGROG01,AGAPA01,Global,0
AGROG01,AGARE01,Global,0
KRIST01,QGARE01,Global,370
KRIST01,QGASA01,Global,375
AGROG01,AGASA01,Global,0
AGROG01,AGASE01,Global,0
AGROG01,AGATE01,Global,0
LESTA01,AGE-501,Global,0
MAJUM01,QGOLD05,Global,0
MAJUM01,QGOLD06,Global,0
JOHNN01,AGOLD03,Global,0
MAJUM01,QGOLD15,Global,0
MAJUM01,QGOLD17,Global,0
MAJUM01,QGOLD20,Global,0
MAJUM01,AGOLD14,Global,0
MAJUM01,QGOLD07,Global,465
MAJUM01,AGOLD15,Global,0
MAJUM01,QGOLD08,Global,0
MAJUM01,AGOLD06,Global,0
MAJUM01,AGOLD09,Global,0
MAJUM01,QGOLD19,Global,894
MAJUM01,QGOLD18,Global,0
MAJUM01,QGOLD21,Global,4520
MAJUM01,AGGAM02,Global,0
MAJUM01,QGGAM01,Global,1115
MAJUM01,AGGAM01,Global,0
MAJUM01,QGOLD16,Global,706
MAJUM01,AGOLD17,Global,0
MAJUM01,AGOLD13,Global,0
MAJUM01,QGOLD09,Global,271
MAJUM01,AGOLD16,Global,0
MAJUM01,AGOLD08,Global,0
MAJUM01,AGOLD11,Global,0
MAJUM01,QGOLD13,Global,64
MAJUM01,QGOLD10,Global,139
MAJUM01,AGGDA01,Global,0
MAJUM01,AGOLD07,Global,0
MAJUM01,AGOLD12,Global,0
MAJUM01,AGGJA01,Global,0
MAJUM01,AGGPA01,Global,0
MAJUM01,AGGTE01,Global,0
MAJUM01,AGGUM01,Global,0
UTOMO01,QGWBL01,Global,0
UTOMO01,AGWBL01,Global,0
UTOMO01,AGWGE01,Global,0
UTOMO01,QGWGE01,Global,0
UTOMO01,QGWMA05,Global,428
UTOMO01,AGWMA01,Global,0
UTOMO01,QGWMA01,Global,0
UTOMO01,QGWMA02,Global,829
UTOMO01,AGWMA03,Global,96
UTOMO01,QGWMA03,Global,0
UTOMO01,AGWMA02,Global,0
UTOMO01,QGWMA04,Global,0
UTOMO01,AGWSA01,Global,21
UTOMO01,QGWVI03,Global,2803
UTOMO01,AGWVI02,Global,90
UTOMO01,QGWVI07,Global,68
UTOMO01,QGWVI01,Global,599
UTOMO01,AGWVI01,Global,0
UTOMO01,QGWVI02,Global,0
UTOMO01,AGWVI04,Global,0
UTOMO01,QGWVI05,Global,0
UTOMO01,QGWVI06,Global,0
UTOMO01,AGWVI03,Global,0
UTOMO01,QGWVI08,Global,2317
UTOMO01,QGWVI04,Global,0
JAWAA01,AGAPL01,Global,0
JAWAA01,QGAPL01,Global,5526
JAWAA01,AGAPL03,Global,0
WAHAN01,AGAPL02,Global,0
JAWAA01,AGAPL04,Global,0
JAWAA01,QGAPL02,Global,0
JAWAA01,QGAPL03,Global,0
IMTAS01,QGAGA02,Global,0
STARM01,QGAGA01,Global,0
SINAR01,AGALA02,Global,0
ROYAL01,AGALI03,Global,0
ROYAL01,QGALI03,Global,0
ROYAL01,AGALI01,Global,0
ROYAL01,QGALI01,Global,0
ROYAL01,AGALI02,Global,0
ROYAL01,QGALI02,Global,0
DOWAG01,QGALL13,Global,0
MAJUM01,QGALL01,Global,0
MAJUM01,AGALL03,Global,0
MAJUM01,QGALL08,Global,0
MAJUM01,AGALL05,Global,0
MAJUM01,QGALL07,Global,0
MAJUM01,QGALL12,Global,329
MAJUM01,QGALL15,Global,0
MAJUM01,QGALL10,Global,0
MAJUM01,AGALL06,Global,0
MAJUM01,QGALL18,Global,0
MAJUM01,AGALL01,Global,0
MAJUM01,QGALL02,Global,0
MAJUM01,QGALL05,Global,0
MAJUM01,QGALL06,Global,0
MAJUM01,QGALL11,Global,0
MAJUM01,QGALL14,Global,2210
MAJUM01,QGALL16,Global,0
MAJUM01,QGALL09,Global,0
MAJUM01,QGALL19,Global,0
MAJUM01,QGALL22,Global,0
MAJUM01,QGALL21,Global,0
MAJUM01,QGALL17,Global,0
MAJUM01,QGALL20,Global,0
MAJUM01,AGALL04,Global,0
MAJUM01,QGALL03,Global,2546
MAJUM01,AGALL02,Global,0
MAJUM01,QGALL04,Global,0
SARAN04,AGAME01,Global,42
SARAN04,QGAME01,Global,4478
SARAN04,AGAME02,Global,0
SARAN04,QGAME03,Global,441
SARAN04,AGAME03,Global,0
SARAN04,QGAME02,Global,2367
KALAT01,QGAND05,Global,0
KALAT01,QGAND06,Global,0
KALAT01,AGAND07,Global,0
KALAT01,AGAND04,Global,0
KALAT01,QGAND01,Global,177333
KALAT01,QGAND02,Global,34378
KALAT01,AGAND01,Global,0
KALAT01,QGAND03,Global,131352
KALAT01,AGAND02,Global,0
KALAT01,QGAND04,Global,34248
KALAT01,AGAND03,Global,0
ZENIT01,QGANE01,Global,0
ZENIT01,QGANE02,Global,1596
ZENIT01,QGANE03,Global,954
MITRA09,QGARD01,Global,49908
MITRA09,AGARD01,Global,1191
TANIN01,QGARD02,Global,0
TANIN01,QGARD03,Global,0
ARENA01,AGATI01,Global,0
ARENA01,QGATI01,Global,0
BAYER01,AGAUC01,Global,0
BAYER01,QGAUC01,Global,0
BAYER01,QGAUC02,Global,0
BAYER01,QGAUC03,Global,0
BAYER01,AGAUC02,Global,0
ARTHA01,QGAVI01,Global,0
ARTHA01,AGAVI01,Global,0
ZEENE01,AGAYA01,Global,0
ZEENE01,QGAYA01,Global,0
NONAM01,ZZGELA01,Global,3086
NONAM01,ZZGELA02,Global,0
NONAM01,ZZGELA05,Global,0
NONAM01,ZZGELA03,Global,789
NONAM01,ZZGELA04,Global,0
NONAM01,ZZGELA06,Global,228
NONAM01,ZZGELA07,Global,36
SARIK02,QGEMA08,Global,0
SARIK02,CGEMA06,Global,0
SARIK02,QGEMA07,Global,0
SARIK02,CGEMA05,Global,0
SARIK02,QGEMA01,Global,0
SARIK02,CGEMA03,Global,0
SARIK02,QGEMA06,Global,0
SARIK02,QGEMA04,Global,0
SARIK02,CGEMA07,Global,0
SARIK02,QGEMA09,Global,0
SARIK02,CGEMA01,Global,0
SARIK02,QGEMA03,Global,0
SARIK02,CGEMA02,Global,0
SARIK02,QGEMA02,Global,0
SARIK02,CGEMA04,Global,0
SARIK02,QGEMA05,Global,0
IMTAS01,QGEMB01,Global,0
SARIK02,AGEMI01,Global,0
SARIK02,QGEMI01,Global,421
SARIK02,QGEMI02,Global,0
PETRO01,QGEMP01,Global,0
PETRO01,QGEMP04,Global,0
PETRO01,QGEMP03,Global,0
PETRO01,QGEMP02,Global,0
ARTHA01,AGENE02,Global,0
ARTHA01,AGENE01,Global,0
ARTHA01,QGENE01,Global,0
ARTHA01,AGENE03,Global,0
ARTHA01,QGENE02,Global,0
SINAR01,QGENI01,Global,8616
SINAR01,AGENI01,Global,0
SINAR01,QGENI03,Global,2
SINAR01,QGENI02,Global,122
AGROG01,AGERB01,Global,0
MAJUM01,QGERB02,Global,0
AGROG01,AGERB02,Global,0
MAJUM01,QGERB01,Global,0
AGROG01,AGERB03,Global,0
MAJUM01,AGERB04,Global,0
SARIK02,QGIBA01,Global,3338
SARIK02,QGIBA03,Global,35
SARIK02,QGIBA02,Global,397
MAJUM01,AGIBB01,Global,0
NUFAR01,QGIBG01,Global,0
NUFAR01,AGIBG01,Global,0
NUFAR01,QGIBG03,Global,0
NUFAR01,AGIBG02,Global,0
NUFAR01,QGIBG02,Global,0
NUFAR01,QGIBG04,Global,645
SARAN04,QGRIB01,Global,1819
NONAM01,AGIBR01,Global,40
SARAN04,QGRIB03,Global,800
NONAM01,AGIBR02,Global,0
SARAN04,QGRIB02,Global,2447
GLOBA01,AGITA01,Global,0
GLOBA01,QGITA01,Global,0
JOHNN01,AGLAD01,Global,0
MAJUM01,QGLAD01,Global,0
MAJUM01,QGLAD03,Global,0
JOHNN01,AGLAD02,Global,0
FAMIN01,AGLAD03,Global,0
JOHNN01,AGLAD04,Global,0
JOHNN01,AGLAD05,Global,0
MAJUM01,QGLAD02,Global,0
FAMIN01,AGLAD06,Global,0
ADILM01,QGLID01,Global,0
ADILM01,AGLID01,Global,0
JAWAA01,QGLIF01,Global,0
JAWAA01,QGLIF03,Global,0
JAWAA01,QGLIF02,Global,0
JAWAA01,CGLIF01,Global,0
JAWAA01,QGLIF04,Global,4628
JAWAA01,CGLIF04,Global,0
JAWAA01,CGLIF03,Global,0
JAWAA01,CGLIF02,Global,0
JAWAA01,CGLIF05,Global,0
SENTA01,QGLIM01,Global,0
SENTA01,AGLIM01,Global,0
SENTA01,QGLIM02,Global,0
SENTA01,AGLIM02,Global,0
SENTA01,QGLIM03,Global,0
NUFAR01,QGLOV02,Global,508
NUFAR01,QGLOV03,Global,1095
NUFAR01,AGLOV03,Global,0
NUFAR01,AGLOV01,Global,0
NUFAR01,AGLOV02,Global,0
NUFAR01,QGLOV01,Global,9307
ADILM01,QGLUF03,Global,2160
ADILM01,CGLUF01,Global,0
INDOT01,AGLUF03,Global,0
MULTI07,AGLUF04,Global,0
MULTI07,QGLUF01,Global,0
MULTI07,AGLUF05,Global,0
MULTI07,QGLUF02,Global,0
INDOT01,AGLUF02,Global,0
INDOT01,AGLUF01,Global,0
CENTA01,QGLYK01,Global,1444
DOWAG01,AGOAL01,Global,0
DOWAG01,QGOAL01,Global,0
DOWAG01,AGOAL02,Global,0
DOWAG01,QGOAL02,Global,0
SAPRO03,QGOAL03,Global,27532
SANIT01,QGOLO01,Global,0
SANIT01,QGOLO02,Global,0
SANIT01,QGOLO03,Global,0
SANIT01,QGOLD01,Global,39
SANIT01,AGOLD01,Global,0
WAHAN01,AGOLD02,Global,0
WAHAN01,QGOLD12,Global,80
WAHAN01,AGOLD05,Global,0
WAHAN01,QGOLD11,Global,301
WAHAN01,AGOLD10,Global,0
ASIAN01,QGOLD14,Global,1474
RAGAM01,QGOLD03,Global,0
RAGAM01,QGOLD02,Global,0
RAGAM01,AGOLD04,Global,0
RAGAM01,QGOLD04,Global,0
INDAG01,AGOLM01,Global,0
JAVAK01,AGOOD01,Global,0
AGROT01,QGOQU01,Global,0
AGROT01,QGOQU02,Global,0
MITRA01,QGORD01,Global,0
MITRA01,QGORD02,Global,0
NUFAR01,AGRAC01,Global,0
SYNGE01,AGRAM01,Global,0
SYNGE01,QGRAM01,Global,0
SYNGE01,AGRAM02,Global,0
SYNGE01,QGRAM02,Global,0
SYNGE01,QGRAM05,Global,0
SYNGE01,QGRAM03,Global,0
SYNGE01,AGRAM04,Global,0
SYNGE01,QGRAM06,Global,0
SYNGE01,AGRAM03,Global,0
SYNGE01,QGRAM04,Global,0
JOHNN01,ZZGRAN01,Global,56
TANIN01,QGRAN03,Global,0
TIGAM01,QGRAN01,Global,24577
TIGAM01,AGRAN01,Global,733
TIGAM01,QGRAN02,Global,0
TIGAM01,AGRAN02,Global,0
TIGAM01,QGRAN04,Global,42550
SARIK02,AGRAS01,Global,0
SARIK02,QGRAS02,Global,21162
SARIK02,QGRAS01,Global,45
SARIK02,QGRAS03,Global,323
SARIK02,AGRAS02,Global,0
ALFAB01,QGREE03,Global,3289
ALFAB01,QGREE04,Global,5970
DHARM03,QGREE02,Global,0
DHARM03,QGREE01,Global,0
TANIN01,QGRET01,Global,0
NONAM01,AGROA01,Global,0
NONAM01,ZZGULA01,Global,0
NONAM01,ZZGULA02,Global,0
NONAM01,ZZGUNT01,Global,0
UTOMO01,AGUNT02,Global,51
UTOMO01,AGUNT03,Global,0
UTOMO01,AGUNT01,Global,16
UTOMO01,AGUNT04,Global,0
BERSA01,QGUSA01,Global,0
BERSA01,QGUSA02,Global,0
NONAM01,ZZHPINF01,Global,0
NONAM01,ZZHPOP01,Global,0
KERTO01,AHSPA01,Global,0
KERTO01,QHSPA02,Global,0
KERTO01,QHSPA01,Global,0
KERTO01,QHSPA03,Global,0
PRIMA03,QHADE03,Global,0
PRIMA03,QHADE02,Global,0
PRIMA03,QHADE01,Global,0
NONAM01,AHAND01,Global,0
WIDJA01,AHAND02,Global,0
NONAM01,ZZHAND13,Global,0
NONAM01,ZZHAND06,Global,0
NONAM01,ZZHAND01,Global,0
NONAM01,ZZHAND02,Global,0
NONAM01,ZZHAND14,Global,0
NONAM01,ZZHAND03,Global,0
NONAM01,XHANDP01,Global,0
NONAM01,ZZHAND09,Global,0
NONAM01,ZZHAND11,Global,0
NONAM01,ZZHAND12,Global,0
NONAM01,ZZHAND10,Global,0
NONAM01,ZZHAND07,Global,0
STARM01,AHAND04,Global,0
STARM01,QHAND01,Global,9
STARM01,AHAND03,Global,2
NONAM01,ZZHAND08,Global,45
NONAM01,ZZHAND04,Global,0
NONAM01,ZZHAND05,Global,0
JOHNN01,AHAPP01,Global,0
MITRA25,QHARA01,Global,720
DITYA01,AHARA01,Global,0
NONAM01,ZZHEM01,Global,0
AGROI01,QHER01,Global,1193
TUNAS05,AHERO01,Global,0
TUNAS05,QHERO01,Global,0
SINAR01,AHEXA05,Global,0
SINAR01,QHEXA08,Global,3958
SINAR01,QHEXA04,Global,690
NONAM01,AHEXA06,Global,0
SINAR01,AHEXA03,Global,0
SINAR01,QHEXA03,Global,0
SINAR01,QHEXA07,Global,397
SINAR01,AHEXA04,Global,0
SINAR01,AHEXA02,Global,0
SINAR01,QHEXA02,Global,123
SINAR01,AHEXA01,Global,0
SINAR01,QHEXA01,Global,0
EXCEL01,QHEXA06,Global,193
EXCEL01,QHEXA05,Global,285
INDOF01,AHIPR01,Global,8
INDOF01,QHIPR01,Global,0
INDOF01,AHIPR03,Global,0
INDOF01,AHIPR02,Global,0
CENTA01,QHIDR01,Global,0
AGROT01,AHIDR01,Global,0
MITRA25,QHIJA01,Global,0
MITRA25,AHIJA01,Global,4
MITRA25,QHIJA02,Global,0
MITRA25,QHIJA03,Global,0
SARIK02,QHOKK03,Global,0
SARIK02,AHOKK01,Global,0
SARIK02,QHOKK01,Global,1335
SARIK02,QHOKK02,Global,0
SARIK02,AHOKK02,Global,0
NONAM01,ZZHOND01,Global,0
TUNAS05,QHOTS02,Global,0
TUNAS05,QHOTS01,Global,0
SAFEC01,QHOW 02,Global,0
SAFEC01,QHOW 01,Global,0
NONAM01,ZZHUAN01,Global,3
AGRIM02,AHUMA03,Global,0
AGRIM02,AHUMA01,Global,0
AGRIM02,AHUMA04,Global,0
AGRIM02,AHUMA02,Global,0
WAHAN02,AHYDR01,Global,0
SINAR01,QHIPO01,Global,0
SINAR01,AHIPO01,Global,0
SINAR01,AHIPO02,Global,0
SINAR01,QHIPO02,Global,0
SINAR01,QHIPO03,Global,0
PILAR02,AIABA01,Global,3
PILAR02,AILUT01,Global,4
PILAR02,AISAD01,Global,3
UTOMO01,QICEM02,Global,0
UTOMO01,AICEM01,Global,0
UTOMO01,QICEM01,Global,0
SYNGE01,QICON01,Global,0
AGRON01,AIJOK01,Global,0
AGRON01,QIJOK01,Global,17443
SARIK01,AIMAR01,Global,0
